id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
1124,The Prestige,"Drama,Mystery,Science Fiction",en,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",32.168,2006-10-19,8.2,13217
857,Saving Private Ryan,"Drama,History,War",en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",59.809,1998-07-24,8.2,13233
77,Memento,"Mystery,Thriller",en,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",26.409,2000-10-11,8.2,12433
11324,Shutter Island,"Drama,Thriller,Mystery",en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",367.116,2010-02-14,8.2,20171
603,The Matrix,"Action,Science Fiction",en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",62.628,1999-03-30,8.2,21819
620683,My Mom is a Character 3,Comedy,pt,Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,5.769,2019-12-26,8.2,423
50014,The Help,Drama,en,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",325.877,2011-08-09,8.2,6522
324786,Hacksaw Ridge,"Drama,History,War",en,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",301.538,2016-10-07,8.2,11167
508442,Soul,"Animation,Family,Comedy,Fantasy,Drama",en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",175.175,2020-12-25,8.2,8211
103,Taxi Driver,"Crime,Drama",en,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,39.307,1976-02-09,8.2,9564
406997,Wonder,"Drama,Family",en,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",48.155,2017-11-13,8.2,6919
872,Singin' in the Rain,"Comedy,Music,Romance,Drama",en,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",19.843,1952-04-09,8.2,2467
475557,Joker,"Crime,Thriller,Drama",en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",130.728,2019-10-01,8.2,20921
705,All About Eve,Drama,en,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",11.998,1950-10-06,8.2,1218
289,Casablanca,"Drama,Romance",en,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",20.562,1942-11-26,8.2,4305
400608,Bo Burnham: Make Happy,"Comedy,Music",en,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.",5.697,2016-06-03,8.2,293
600354,The Father,Drama,en,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",22.528,2020-12-23,8.2,2190
111,Scarface,"Action,Crime,Drama",en,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",65.088,1983-12-09,8.2,9436
1422,The Departed,"Drama,Thriller,Crime",en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",31.039,2006-10-04,8.2,12551
100,"Lock, Stock and Two Smoking Barrels","Comedy,Crime",en,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,10.191,1998-08-28,8.2,5488
606856,Togo,"Adventure,Family",en,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",140.122,2019-12-20,8.2,1506
996,Double Indemnity,"Crime,Drama,Mystery,Thriller",en,"A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.",10.892,1944-06-14,8.2,1387
666,Central Station,Drama,pt,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",8.722,1998-11-20,8.2,675
992,Sherlock Jr.,"Action,Comedy,Mystery",en,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",10.842,1924-04-17,8.2,685
